0;12,9,2,45286;8,9
1;10,3,114,90109;8,9
2;5,10,15,96263;8,9
3;8,7,105,37781;8,9
4;13,2,8,41524;8,9
5;9,4,30,57729;8,9
6;10,2,120,34564;8,9
7;13,4,62,19515;8,9
8;15,6,107,4930;8,9
9;15,7,42,44286;8,9
10;19,1,118,65691;8,9
11;5,3,64,2773;8,9
12;2,4,110,9898;8,9
13;3,3,90,35244;8,9
14;16,8,81,957;8,9
15;13,7,74,84251;8,9
16;1,8,11,17098;8,9
17;8,7,123,75290;8,9
18;19,1,15,58105;8,9
19;1,2,86,92950;8,9
20;13,9,47,86799;8,9
21;17,5,61,81277;8,9
22;13,2,120,91905;8,9
23;16,1,21,29629;8,9
24;3,8,51,84172;8,9
25;8,7,34,34253;8,9
26;14,1,96,22629;8,9
27;11,9,14,92905;8,9
28;20,10,36,39513;8,9
29;3,1,90,94896;8,9
30;15,8,38,57559;8,9
31;8,7,88,816;8,9
32;12,5,63,52720;8,9
33;4,2,49,11941;8,9
34;7,6,64,32087;8,9
35;15,8,118,40771;8,9
36;7,4,107,23746;8,9
37;15,8,43,48106;8,9
38;6,4,43,2513;8,9
39;14,9,77,16220;8,9
40;7,4,116,15598;8,9
41;13,1,22,43806;8,9
42;20,10,60,53185;8,9
43;10,3,82,29512;8,9
44;7,10,69,34248;8,9
45;2,1,95,4416;8,9
46;10,2,26,50783;8,9
47;7,3,8,95766;8,9
48;14,10,63,84465;8,9
49;20,5,96,50292;8,9
50;2,4,22,97960;8,9
51;16,7,46,92563;8,9
52;19,10,75,22691;8,9
53;1,2,35,26824;8,9
54;10,8,41,11090;8,9
55;1,6,39,70496;8,9
56;12,6,71,2591;8,9
57;7,2,69,45098;8,9
58;3,1,89,55223;8,9
59;15,2,46,96050;8,9
60;13,3,99,67669;8,9
61;6,10,122,95708;8,9
62;4,9,103,78868;8,9
63;2,4,77,50961;8,9
64;5,9,117,27101;8,9
65;2,8,7,29447;8,9
66;16,10,14,71057;8,9
67;16,7,81,42579;8,9
68;8,7,120,66580;8,9
69;18,5,3,81258;8,9
70;15,10,39,85570;8,9
71;18,9,12,12702;8,9
72;2,6,46,22562;8,9
